CO_REGIAO;CO_UF;CO_MUNICIPIO;IN_CAPITAL;TP_DIMENSAO;TP_ORGANIZACAO_ACADEMICA;TP_CATEGORIA_ADMINISTRATIVA;TP_REDE;CO_CURSO;CO_CINE_ROTULO;CO_CINE_AREA_GERAL;CO_CINE_AREA_ESPECIFICA;CO_CINE_AREA_DETALHADA;TP_GRAU_ACADEMICO;IN_GRATUITO;TP_MODALIDADE_ENSINO;TP_NIVEL_ACADEMICO;QT_CURSO;QT_VG_TOTAL;QT_VG_TOTAL_DIURNO;QT_VG_TOTAL_NOTURNO;QT_VG_TOTAL_EAD;QT_VG_NOVA;QT_VG_PROC_SELETIVO;QT_VG_REMANESC;QT_VG_PROG_ESPECIAL;QT_INSCRITO_TOTAL;QT_INSCRITO_TOTAL_DIURNO;QT_INSCRITO_TOTAL_NOTURNO;QT_INSCRITO_TOTAL_EAD;QT_INSC_VG_NOVA;QT_INSC_PROC_SELETIVO;QT_INSC_VG_REMANESC;QT_INSC_VG_PROG_ESPECIAL;QT_ING;QT_ING_FEM;QT_ING_MASC;QT_ING_DIURNO;QT_ING_NOTURNO;QT_ING_VG_NOVA;QT_ING_VESTIBULAR;QT_ING_ENEM;QT_ING_AVALIACAO_SERIADA;QT_ING_SELECAO_SIMPLIFICA;QT_ING_EGR;QT_ING_OUTRO_TIPO_SELECAO;QT_ING_PROC_SELETIVO;QT_ING_VG_REMANESC;QT_ING_VG_PROG_ESPECIAL;QT_ING_OUTRA_FORMA;QT_ING_0_17;QT_ING_18_24;QT_ING_25_29;QT_ING_30_34;QT_ING_35_39;QT_ING_40_49;QT_ING_50_59;QT_ING_60_MAIS;QT_ING_BRANCA;QT_ING_PRETA;QT_ING_PARDA;QT_ING_AMARELA;QT_ING_INDIGENA;QT_ING_CORND;QT_MAT;QT_MAT_FEM;QT_MAT_MASC;QT_MAT_DIURNO;QT_MAT_NOTURNO;QT_MAT_0_17;QT_MAT_18_24;QT_MAT_25_29;QT_MAT_30_34;QT_MAT_35_39;QT_MAT_40_49;QT_MAT_50_59;QT_MAT_60_MAIS;QT_MAT_BRANCA;QT_MAT_PRETA;QT_MAT_PARDA;QT_MAT_AMARELA;QT_MAT_INDIGENA;QT_MAT_CORND;QT_CONC;QT_CONC_FEM;QT_CONC_MASC;QT_CONC_DIURNO;QT_CONC_NOTURNO;QT_CONC_0_17;QT_CONC_18_24;QT_CONC_25_29;QT_CONC_30_34;QT_CONC_35_39;QT_CONC_40_49;QT_CONC_50_59;QT_CONC_60_MAIS;QT_CONC_BRANCA;QT_CONC_PRETA;QT_CONC_PARDA;QT_CONC_AMARELA;QT_CONC_INDIGENA;QT_CONC_CORND;QT_ING_NACBRAS;QT_ING_NACESTRANG;QT_MAT_NACBRAS;QT_MAT_NACESTRANG;QT_CONC_NACBRAS;QT_CONC_NACESTRANG;QT_ALUNO_DEFICIENTE;QT_ING_DEFICIENTE;QT_MAT_DEFICIENTE;QT_CONC_DEFICIENTE;QT_ING_FINANC;QT_ING_FINANC_REEMB;QT_ING_FIES;QT_ING_RPFIES;QT_ING_FINANC_REEMB_OUTROS;QT_ING_FINANC_NREEMB;QT_ING_PROUNII;QT_ING_PROUNIP;QT_ING_NRPFIES;QT_ING_FINANC_NREEMB_OUTROS;QT_MAT_FINANC;QT_MAT_FINANC_REEMB;QT_MAT_FIES;QT_MAT_RPFIES;QT_MAT_FINANC_REEMB_OUTROS;QT_MAT_FINANC_NREEMB;QT_MAT_PROUNII;QT_MAT_PROUNIP;QT_MAT_NRPFIES;QT_MAT_FINANC_NREEMB_OUTROS;QT_CONC_FINANC;QT_CONC_FINANC_REEMB;QT_CONC_FIES;QT_CONC_RPFIES;QT_CONC_FINANC_REEMB_OUTROS;QT_CONC_FINANC_NREEMB;QT_CONC_PROUNII;QT_CONC_PROUNIP;QT_CONC_NRPFIES;QT_CONC_FINANC_NREEMB_OUTROS;QT_ING_RESERVA_VAGA;QT_ING_RVREDEPUBLICA;QT_ING_RVETNICO;QT_ING_RVPDEF;QT_ING_RVSOCIAL_RF;QT_ING_RVOUTROS;QT_MAT_RESERVA_VAGA;QT_MAT_RVREDEPUBLICA;QT_MAT_RVETNICO;QT_MAT_RVPDEF;QT_MAT_RVSOCIAL_RF;QT_MAT_RVOUTROS;QT_CONC_RESERVA_VAGA;QT_CONC_RVREDEPUBLICA;QT_CONC_RVETNICO;QT_CONC_RVPDEF;QT_CONC_RVSOCIAL_RF;QT_CONC_RVOUTROS;QT_ING_PROCESCPUBLICA;QT_ING_PROCESCPRIVADA;QT_ING_PROCNAOINFORMADA;QT_MAT_PROCESCPUBLICA;QT_MAT_PROCESCPRIVADA;QT_MAT_PROCNAOINFORMADA;QT_CONC_PROCESCPUBLICA;QT_CONC_PROCESCPRIVADA;QT_CONC_PROCNAOINFORMADA;QT_PARFOR;QT_ING_PARFOR;QT_MAT_PARFOR;QT_CONC_PARFOR;QT_APOIO_SOCIAL;QT_ING_APOIO_SOCIAL;QT_MAT_APOIO_SOCIAL;QT_CONC_APOIO_SOCIAL;QT_ATIV_EXTRACURRICULAR;QT_ING_ATIV_EXTRACURRICULAR;QT_MAT_ATIV_EXTRACURRICULAR;QT_CONC_ATIV_EXTRACURRICULAR;QT_MOB_ACADEMICA;QT_ING_MOB_ACADEMICA;QT_MAT_MOB_ACADEMICA;QT_CONC_MOB_ACADEMICA;TX_EVASAO;FEAT_RATIO_CANDIDATO_VAGA;FEAT_TAXA_OCUPACAO_VAGAS;FEAT_PCT_ING_FEM;FEAT_IDADE_MEDIA_ING;FEAT_PCT_ING_JOVEM;FEAT_PCT_ING_IDOSO;FEAT_PCT_ING_PRETA_PARDA;FEAT_PCT_ING_BRANCA;FEAT_INDICE_DIVERSIDADE;FEAT_PCT_ING_DEFICIENTE;FEAT_PCT_ING_RESERVA_SOCIAL;FEAT_PCT_ING_FINANC;FEAT_PCT_ING_COM_FIES;FEAT_PCT_ING_PROUNI;FEAT_PCT_VG_EAD;FEAT_PCT_VG_NOTURNO;FEAT_DOMINANCIA_MODALIDADE;FEAT_REGIAO_NORTE_NORDESTE;FEAT_PUBLICA;ANO_BASE
5;53;5300108;1;1;2;4;2;1454314;"""0115L15""";01;011;0115;2;0;1;1;1;135;80;55;0;100;0;35;0;458;260;198;0;238;0;220;0;123;89;34;73;50;95;95;50;0;5;0;0;0;28;0;0;0;99;10;5;3;5;1;0;52;22;38;4;1;6;196;133;63;101;95;0;151;23;9;3;8;2;0;91;34;66;2;0;3;21;12;9;0;21;0;9;8;2;0;2;0;0;11;2;8;0;0;0;123;0;196;0;21;0;4;2;3;0;51;0;0;0;0;51;6;0;4;42;90;0;0;0;0;90;9;0;23;64;9;0;0;0;0;9;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;31;0;150;46;0;16;5;0;0;0;0;0;0;0;0;0;228;97;184;21;0;0;0;0;0.5365853658536586;3.3925925925925924;0.9111111111111111;0.7235772357723578;23.577235772357724;0.8048780487804879;0.008130081300813009;0.4878048780487805;0.42276422764227645;0.6927093661180515;0.016260162601626018;0.0;0.4146341463414634;0.0;0.04878048780487805;0.0;0.4074074074074074;DIURNO;0;0;2022
5;53;5300108;1;1;4;1;1;1192496;"""0115L02""";01;011;0115;2;1;1;1;1;80;80;0;0;80;0;0;0;1557;1557;0;0;1557;0;0;0;66;51;15;66;0;66;0;66;0;0;0;0;0;0;0;0;0;48;7;1;0;6;4;0;26;8;28;1;1;2;146;116;30;146;0;0;89;15;8;4;18;12;0;47;21;71;4;1;2;29;27;2;29;0;0;15;3;3;1;4;3;0;11;3;14;1;0;0;66;0;146;0;29;0;16;4;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;20;10;3;10;0;66;59;32;10;32;0;18;16;8;3;10;0;58;8;0;117;29;0;24;5;0;0;0;0;0;70;18;68;18;0;0;0;0;0;0;0;0;0.8307692307692308;19.4625;0.825;0.7727272727272727;26.045454545454547;0.7272727272727273;0.06060606060606061;0.5454545454545454;0.3939393939393939;0.6496786042240588;0.06060606060606061;1.5714285714285714;0.0;0.0;0.0;0.0;0.0;DIURNO;0;1;2022
5;53;5300108;1;1;4;1;1;1281070;"""0115L04""";01;011;0115;2;1;1;1;1;80;80;0;0;80;0;0;0;80;80;0;0;80;0;0;0;50;38;12;50;0;50;0;50;0;0;0;0;0;0;0;0;0;39;5;2;1;2;0;1;17;6;23;1;0;3;249;164;85;249;0;0;164;53;15;3;9;1;4;85;25;125;5;0;9;38;22;16;38;0;0;21;12;1;0;3;0;1;10;2;24;1;0;1;50;0;249;0;38;0;14;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;20;11;0;10;0;137;127;69;8;60;0;22;20;16;2;9;0;44;6;0;199;50;0;29;9;0;0;0;0;0;36;10;36;0;2;1;2;0;0;0;0;0;0.52;1.0;0.625;0.76;24.2;0.78;0.02;0.58;0.34;0.6579999999999999;0.0;1.4285714285714286;0.0;0.0;0.0;0.0;0.0;DIURNO;0;1;2022
5;53;5300108;1;1;4;1;1;1280246;"""0115L13""";01;011;0115;2;1;1;1;1;55;55;0;0;40;0;9;6;612;612;0;0;593;0;18;1;38;27;11;38;0;26;0;26;0;0;0;0;0;12;0;0;0;24;5;1;3;4;0;1;15;3;19;0;0;1;122;92;30;122;0;0;76;24;4;4;7;6;1;39;24;55;0;1;3;17;11;6;17;0;0;10;4;0;0;2;1;0;3;3;11;0;0;0;38;0;122;0;17;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;9;4;0;4;18;47;33;20;0;13;12;13;13;7;0;5;0;35;3;0;109;13;0;17;0;0;0;0;0;0;0;0;0;0;13;13;13;0;0;0;0;0;0.6578947368421053;11.127272727272727;0.6909090909090909;0.7105263157894737;27.026315789473685;0.631578947368421;0.02631578947368421;0.5789473684210527;0.39473684210526316;0.5879501385041551;0.0;0.48148148148148145;0.0;0.0;0.0;0.0;0.0;DIURNO;0;1;2022
5;53;5300108;1;2;1;4;2;1183559;"""0115L04""";01;011;0115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;15;8;0;0;14;14;0;0;0;0;0;0;9;0;0;0;10;6;2;0;3;2;0;3;6;10;0;0;4;44;27;17;0;0;0;13;11;8;4;4;3;1;10;8;20;0;0;6;5;2;3;0;0;0;0;1;1;1;1;1;0;2;1;2;0;0;0;23;0;44;0;5;0;0;0;0;0;23;0;0;0;0;23;0;0;23;0;44;0;0;0;0;44;1;0;43;0;5;0;0;0;0;5;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;16;0;21;23;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.2173913043478262;0.0;0.0;0.6521739130434783;29.608695652173914;0.43478260869565216;0.08695652173913043;0.6956521739130435;0.13043478260869565;0.725897920604915;0.0;0.0;1.0;0.0;0.0;0.0;0.0;DIURNO;0;0;2022
5;53;5300108;1;2;1;4;2;1125999;"""0115L13""";01;011;0115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;14;2;0;0;10;10;0;0;0;0;0;0;6;0;0;0;5;2;2;4;3;0;0;2;0;7;1;0;6;29;19;10;0;0;0;2;5;6;5;9;1;1;8;0;9;0;0;12;7;4;3;0;0;0;1;0;0;1;4;0;1;2;0;0;0;0;5;16;0;29;0;7;0;1;0;1;1;15;0;0;0;0;15;0;0;15;0;29;0;0;0;0;29;1;0;29;0;7;0;0;0;0;7;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;0;12;17;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.75;0.0;0.0;0.875;31.625;0.3125;0.0;0.4375;0.125;0.7890625;0.0;0.0;0.9375;0.0;0.0;0.0;0.0;DIURNO;0;0;2022
5;53;5300108;1;2;1;4;2;1610952;"""0115L07""";01;011;0115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;9;2;0;0;11;11;3;0;8;0;0;0;0;0;0;0;4;4;0;0;2;1;0;5;0;5;0;0;1;5;4;1;0;0;0;2;2;0;0;0;1;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;5;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;2;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0.5454545454545454;0.0;0.0;0.8181818181818182;30.636363636363637;0.36363636363636365;0.09090909090909091;0.45454545454545453;0.45454545454545453;0.5867768595041323;0.18181818181818182;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;DIURNO;0;0;2022
5;53;5300108;1;2;1;4;2;1258537;"""0115L12""";01;011;0115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;12;5;0;0;5;5;0;0;5;0;0;0;12;0;0;0;2;2;3;4;5;1;0;6;3;7;0;0;1;34;28;6;0;0;0;5;5;9;5;8;2;0;9;9;15;0;0;1;8;7;1;0;0;0;1;1;4;0;0;2;0;0;3;5;0;0;0;17;0;34;0;8;0;2;1;0;0;1;0;0;0;0;1;0;0;1;0;5;0;0;0;0;5;1;0;3;1;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;5;0;29;5;0;8;0;0;0;0;0;0;0;0;0;0;13;2;10;4;0;0;0;0;1.1176470588235294;0.0;0.0;0.7058823529411765;36.470588235294116;0.11764705882352941;0.058823529411764705;0.5882352941176471;0.35294117647058826;0.6747404844290658;0.058823529411764705;0.0;0.058823529411764705;0.0;0.0;0.0;0.0;DIURNO;0;0;2022
5;53;5300108;1;2;1;4;2;1258526;"""0115L15""";01;011;0115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;75;26;0;0;71;71;19;0;50;0;0;0;30;0;0;0;32;29;11;8;16;5;0;36;10;48;1;1;5;170;127;43;0;0;0;52;44;28;16;21;7;2;77;14;67;2;1;9;41;32;9;0;0;0;5;8;12;5;8;3;0;25;4;10;0;0;2;101;0;170;0;41;0;3;1;2;0;5;0;0;0;0;5;2;0;2;1;17;0;0;0;0;17;3;0;6;8;6;0;0;0;0;6;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;15;0;137;33;0;30;11;0;0;0;0;0;0;0;0;0;30;11;25;7;0;0;0;0;0.693069306930693;0.0;0.0;0.7425742574257426;30.673267326732674;0.31683168316831684;0.04950495049504951;0.5742574257425742;0.3564356435643564;0.637094402509558;0.009900990099009901;0.0;0.04950495049504951;0.0;0.019801980198019802;0.0;0.0;DIURNO;0;0;2022
5;53;5300108;1;2;1;4;2;89379;"""0115L13""";01;011;0115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;49;11;0;0;44;24;0;0;20;0;0;0;16;0;0;0;13;9;10;9;10;8;1;15;4;17;1;0;23;38;31;7;0;0;0;9;6;6;6;3;6;2;10;3;14;1;1;9;3;3;0;0;0;0;1;0;0;1;0;1;0;0;0;2;0;0;1;60;0;38;0;3;0;1;1;1;0;30;0;0;0;0;30;0;0;29;1;14;0;0;0;0;14;0;0;14;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;9;0;26;12;0;3;0;0;0;0;0;0;5;0;0;0;2;1;0;0;0;0;0;0;0.6333333333333333;0.0;0.0;0.8166666666666667;35.4;0.21666666666666667;0.15;0.35;0.25;0.8525;0.016666666666666666;0.0;0.5;0.0;0.0;0.0;0.0;DIURNO;0;0;2022
5;53;5300108;1;2;1;4;2;1420105;"""0115L15""";01;011;0115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;117;85;32;0;0;70;66;1;0;3;0;0;0;47;0;0;0;45;25;15;14;13;5;0;26;6;39;2;0;44;93;68;25;0;0;0;36;19;9;15;12;2;0;23;6;39;2;0;23;6;3;3;0;0;0;1;2;0;3;0;0;0;3;0;2;1;0;0;117;0;93;0;6;0;3;2;3;0;73;0;0;0;0;73;1;0;68;4;49;0;0;0;0;49;1;0;46;2;3;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;22;0;73;20;0;4;2;0;0;0;0;0;0;0;0;0;7;2;5;0;0;0;0;0;0.41025641025641024;0.0;0.0;0.7264957264957265;29.726495726495727;0.38461538461538464;0.042735042735042736;0.38461538461538464;0.2222222222222222;0.8365841186354007;0.017094017094017096;0.0;0.6239316239316239;0.0;0.008547008547008548;0.0;0.0;DIURNO;0;0;2022
5;53;5300108;1;2;1;4;2;1268545;"""0115L13""";01;011;0115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;20;5;0;0;25;16;9;0;1;0;0;0;0;0;0;0;13;0;2;1;8;1;0;11;2;9;0;0;3;38;26;12;0;0;0;12;4;6;3;8;3;2;13;0;19;0;0;6;7;4;3;0;0;0;0;0;1;1;3;1;1;1;0;6;0;0;0;25;0;38;0;7;0;3;1;1;0;1;0;0;0;0;1;1;0;0;0;7;0;0;0;0;7;7;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;3;0;36;2;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.28;0.0;0.0;0.8;31.56;0.52;0.04;0.44;0.44;0.6704;0.04;0.0;0.04;0.0;0.04;0.0;0.0;DIURNO;0;0;2022
5;53;5300108;1;2;1;4;2;1132133;"""0115L12""";01;011;0115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;10;1;0;0;11;7;3;0;1;0;0;0;0;0;0;0;5;2;1;0;2;1;0;4;1;5;0;0;1;14;12;2;0;0;0;5;3;2;0;3;1;0;5;1;7;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;11;0;14;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;13;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8181818181818182;0.0;0.0;0.9090909090909091;30.545454545454547;0.45454545454545453;0.09090909090909091;0.5454545454545454;0.36363636363636365;0.6528925619834711;0.0;0.0;0.09090909090909091;0.0;0.09090909090909091;0.0;0.0;DIURNO;0;0;2022
5;53;5300108;1;2;1;4;2;100307;"""0115L15""";01;011;0115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;43;18;0;0;61;48;10;0;3;0;0;0;0;0;0;0;34;13;8;3;2;1;0;18;7;27;1;0;8;92;67;25;0;0;0;40;20;13;4;8;6;1;33;10;31;1;0;17;8;6;2;0;0;0;3;2;1;0;1;1;0;4;1;2;0;0;1;59;2;91;1;8;0;2;1;2;0;3;0;0;0;0;3;3;0;0;0;7;0;0;0;0;7;7;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;11;0;80;12;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7868852459016393;0.0;0.0;0.7049180327868853;25.852459016393443;0.5573770491803278;0.01639344262295082;0.5573770491803278;0.29508196721311475;0.7035743079817254;0.01639344262295082;0.0;0.04918032786885246;0.0;0.04918032786885246;0.0;0.0;DIURNO;0;0;2022
5;53;5300108;1;2;1;4;2;1205437;"""0115L15""";01;011;0115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;63;24;0;0;76;56;10;0;10;0;0;0;11;0;0;0;30;16;9;9;20;3;0;22;15;38;6;1;5;171;112;59;0;0;0;36;33;36;20;33;11;2;62;23;61;11;3;11;42;30;12;0;0;0;8;8;14;1;7;4;0;19;1;12;3;1;6;87;0;170;1;41;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;6;0;0;0;0;6;6;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;17;0;123;48;0;30;12;0;0;0;0;0;139;57;130;23;226;87;171;42;0;0;0;0;0.632183908045977;0.0;0.0;0.7241379310344828;31.586206896551722;0.3448275862068966;0.034482758620689655;0.6091954022988506;0.25287356321839083;0.7106619104240983;0.0;0.0;0.011494252873563218;0.0;0.011494252873563218;0.0;0.0;DIURNO;0;0;2022
5;53;5300108;1;2;1;5;2;1517195;"""0115L04""";01;011;0115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;28;7;0;0;23;8;15;0;0;0;0;0;12;0;0;0;16;11;3;1;1;1;2;19;4;8;1;0;3;41;28;13;0;0;0;16;13;7;2;1;0;2;19;3;14;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;14;0;26;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.37142857142857144;0.0;0.0;0.8;28.457142857142856;0.45714285714285713;0.08571428571428572;0.34285714285714286;0.5428571428571428;0.6391836734693878;0.0;0.0;0.0;0.0;0.0;0.0;0.0;DIURNO;0;0;2022
5;53;5300108;1;2;1;5;2;1189739;"""0115L13""";01;011;0115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;13;2;0;0;8;5;3;0;0;0;0;0;7;0;0;0;4;3;3;2;2;1;0;4;2;4;0;0;5;69;50;19;0;0;0;20;10;14;7;12;6;0;16;12;35;1;0;5;16;13;3;0;0;0;4;2;4;0;4;2;0;1;3;11;1;0;0;15;0;69;0;16;0;1;0;1;1;2;0;0;0;0;2;2;0;0;0;3;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;2;0;54;15;0;13;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.7333333333333334;0.0;0.0;0.8666666666666667;32.0;0.26666666666666666;0.06666666666666667;0.4;0.26666666666666666;0.84;0.0;0.0;0.13333333333333333;0.0;0.13333333333333333;0.0;0.0;DIURNO;0;0;2022
5;53;5300108;1;2;1;5;2;1517194;"""0115L15""";01;011;0115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;29;9;0;0;25;6;19;0;0;0;0;0;13;0;0;0;15;9;4;3;5;2;0;7;7;8;1;0;15;49;38;11;0;0;0;17;11;10;3;5;3;0;10;9;16;1;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;49;0;0;0;0;0;0;0;11;0;0;0;0;11;11;0;0;0;11;0;0;0;0;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;14;0;33;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.23684210526315788;0.0;0.0;0.7631578947368421;29.789473684210527;0.39473684210526316;0.05263157894736842;0.39473684210526316;0.18421052631578946;0.8871191135734072;0.0;0.0;0.2894736842105263;0.0;0.2894736842105263;0.0;0.0;DIURNO;0;0;2022
5;53;5300108;1;2;2;4;2;1541487;"""0115L15""";01;011;0115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;11;3;0;0;14;9;5;0;0;0;0;0;0;0;0;0;5;3;3;2;1;0;0;2;0;3;1;0;8;8;7;1;0;0;0;3;0;3;0;1;1;0;1;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;3;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0.42857142857142855;0.0;0.0;0.7857142857142857;28.642857142857142;0.35714285714285715;0.0;0.21428571428571427;0.14285714285714285;0.9285714285714286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;DIURNO;0;0;2022
5;53;5300108;1;2;2;4;2;1474645;"""0115L13""";01;011;0115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;33;9;0;0;32;21;11;0;0;0;0;0;10;0;0;0;14;11;8;4;4;1;0;15;3;13;1;0;10;60;41;19;0;0;0;17;15;8;5;13;1;1;19;4;28;1;0;8;7;3;4;0;0;0;1;0;0;1;5;0;0;3;0;4;0;0;0;42;0;60;0;7;0;0;0;0;0;24;0;0;0;0;24;0;0;24;0;18;0;0;0;0;18;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;18;0;33;27;0;3;4;0;0;0;0;0;0;0;0;0;15;7;15;3;0;0;0;0;0.6190476190476191;0.0;0.0;0.7857142857142857;29.285714285714285;0.3333333333333333;0.023809523809523808;0.38095238095238093;0.35714285714285715;0.7709750566893424;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;DIURNO;0;0;2022
5;53;5300108;1;2;2;4;2;95397;"""0115L02""";01;011;0115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;4;0;0;5;5;0;0;0;0;0;0;7;0;0;0;4;4;0;0;3;1;0;4;1;3;0;0;4;14;10;4;0;0;0;2;6;0;2;2;1;1;4;2;4;0;0;4;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;12;0;14;0;1;0;0;0;0;0;12;0;0;0;0;12;0;0;12;0;14;0;0;0;0;14;0;0;14;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;8;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8333333333333333;0.0;0.0;0.6666666666666666;31.833333333333332;0.3333333333333333;0.08333333333333333;0.3333333333333333;0.3333333333333333;0.8194444444444444;0.0;0.0;1.0;0.0;0.0;0.0;0.0;DIURNO;0;0;2022
